,,,,,,,,
,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID
cell,cell,CL:0000000,connective tissue cell,connective tissue cell,CL:0002320,adipocyte,adipocyte,CL:0000136
cell,cell,CL:0000000,melanocyte,melanocyte,CL:0000148,,,
cell,cell,CL:0000000,hematopoietic cell,hematopoietic cell,CL:0000988,monocyte,monocyte,CL:0000576
cell,cell,CL:0000000,,,,exocrine cell,exocrine cell,CL:0000152
cell,cell,CL:0000000,extraembryonic cell,extraembryonic cell,CL:0000349,,,
cell,cell,CL:0000000,hematopoietic cell,hematopoietic cell,CL:0000988,,,
cell,cell,CL:0000000,germ line cell,germ line cell,CL:0000039,,,
cell,cell,CL:0000000,bone cell,bone cell,CL:0001035,,,
cell,cell,CL:0000000,hematopoietic cell,hematopoietic cell,CL:0000988,blood cell,blood cell,CL:0000081
cell,cell,CL:0000000,neural cell,neural cell,CL:0002319,glial cell,glial cell,CL:0000125
cell,cell,CL:0000000,hematopoietic cell,hematopoietic cell,CL:0000988,macrophage,macrophage,CL:0000235
cell,cell,CL:0000000,hematopoietic cell,hematopoietic cell,CL:0000988,dendritic cell,dendritic cell,CL:0000451
cell,cell,CL:0000000,hematopoietic cell,hematopoietic cell,CL:0000988,B cell,B cell,CL:0000236
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,
cell,cell,CL:0000000,stem cell,stem cell,CL:0000034,,,
cell,cell,CL:0000000,connective tissue cell,connective tissue cell,CL:0002320,stromal cell,stromal cell,CL:0000499
cell,cell,CL:0000000,muscle cell,muscle cell,CL:0000187,,,
cell,cell,CL:0000000,hematopoietic cell,hematopoietic cell,CL:0000988,T cell,T cell,CL:0000084
cell,cell,CL:0000000,neural cell,neural cell,CL:0002319,neuron,neuron,CL:0000540
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,
